施設名,住所,施設ID,緯度,経度
アタミロープウェイ,〒413-0023  静岡県熱海市和田浜南町8-15,F0241,35.0878826,139.0788295
熱海港海釣り施設,"〒413-0023  静岡県熱海市和田浜南町地先 熱海港外防波堤
0557-85-8600",F0242,35.0921358,139.079827
熱海峠パラグライダー,〒413-0039  静岡県熱海市相の原町14-10,F0243,35.108367,139.046195
熱海陶芸工房doka土火,〒413-0019  静岡県熱海市咲見町8-1,F0244,35.099143,139.0754825
熱海トリックアート迷宮館,〒413-0033  静岡県熱海市熱海曽我山1993 熱海城隣,F0245,35.086492,139.078235
熱海城,〒413-0033  静岡県熱海市曽我山1993,F0246,35.086391,139.078634
起雲閣,〒413-0022  静岡県熱海市昭和町4-2,F0247,35.0928633,139.0710177
MOA美術館,〒413-0006  静岡県熱海市桃山町26番2号,F0248,35.1092776,139.0751998
海上釣堀 筏釣りの東海,〒413-0103  静岡県熱海市網代100-7,F0249,35.0454289,139.0876458
ガラスアート体験工房熱海駅前工房,〒413-0011  静岡県熱海市田原本町6-7 角屋ﾋﾞﾙ3F,F0250,35.1028066,139.0777358
伊豆山神社,〒413-0002  静岡県熱海市伊豆山708-1,F0251,35.1154964,139.0824971
熱海ゆびわ工房,〒413-0011  静岡県熱海市田原本町3-1 熱海魚熊ビル4F,F0252,35.1017562,139.0764634
来宮神社の大楠,〒413-0034  静岡県熱海市西山町43-1,F0253,35.1006893,139.0675733
studio iiro,〒413-0002  静岡県熱海市伊豆山579-41,F0254,35.1118704,139.0855654
熱海クラフト工房,〒413-0005  静岡県熱海市春日町12-6,F0255,35.1048458,139.0810944
ぼら納屋,〒413-0231  静岡県伊東市富戸837,F0256,34.8942404,139.136559
回転寿司 魚磯 伊豆高原店,〒413-0231  静岡県伊東市富戸字水口1103-71,F0257,34.9119054,139.1200802
本家鮪屋,〒413-0232  静岡県伊東市八幡野1069-4,F0258,34.878817,139.11231
伊豆高原旅の駅ぐらんぽーと,〒413-0231  静岡県伊東市富戸1090,F0259,34.907513,139.1209724
伊豆高原ビール本店レストラン,〒413-0231  静岡県伊東市富戸1103-21,F0260,34.9119396,139.1194738
伊豆アクアマリン,〒413-0231  静岡県伊東市富戸842-93,F0261,34.888145,139.133157
陶芸体験 八幡野窯,〒413-0232  静岡県伊東市八幡野1666-4 伊豆高原体験の里,F0262,34.873436,139.09787
DIVE＆HOUSE FUTO,〒413-0231  静岡県伊東市富戸855-3,F0263,34.8951668,139.1325139
そば打ち体験 観音亭,〒413-0232  静岡県伊東市八幡野1666-4 伊豆高原体験の里,F0264,34.8730021,139.0966313
橋立つり橋,〒413-0232  静岡県伊東市八幡野,F0265,34.8708368,139.107379
城ケ崎海岸,〒413-0231  静岡県伊東市富戸～八幡野,F0266,34.8910482,139.1399205
伊豆ぐらんぱる公園,〒413-0231  静岡県伊東市富戸1090,F0267,34.9056273,139.1214403
赤沢日帰り温泉館,〒413-0233  静岡県伊東市赤沢字浮山170-2,F0268,34.8584878,139.0912746
伊豆テディベア・ミュージアム,〒413-0232  静岡県伊東市八幡野1064-2,F0269,34.8778007,139.1115152
陶芸工房えんのかま,〒413-0231  静岡県伊東市富戸1317-1053,F0270,34.9065841,139.1122753
